id,Supervisor,Type,Theme,Keywords,Title,"Last edited/added",Description
126,"O'Hare, Danny","Lab based","Biomedical sensing diagnostics and imaging","medical devices - biosensors,medical devices - chemical sensors,medical devices - diagnostic,medical devices - monitoring,Techniques / technologies - Design - electronics,Techniques / technologies - Experiment - chemical","Biosensors for breath analysis","2025-05-19 14:41:28","Breath condensate can contain markers of inflammation such as hydrogen peroxide, nitric oxide and peroxynitrous acid.  These markers appear to rise in advance of asthmatic patients being aware of an impending crisis and could therefore have therapeutic uses in indicating when patients should take their medication.  In addition, Scheller's group have been able to detect lactic acid in breath condensate which correlates to some degree with blood lactate levels.

The collection of most biological samples is necessarily invasive and the high protein content interferes with-most analytical techniques, so if therapeutic or bioanalytically useful data can be obtained from breath condensate, this is an attractive proposition.

We propose a project for 1-2 students to design and build a portable instrument for collecting and analysing breath condensate and aerosols.  There are at least two parts: (i)sample collection and handling to ensure reproducible volumes and (ii) development of electrochemical sensors for analysing the samples and comparison with chromatographic analysis.  A very hands-on lab an workshop based project."
127,"O'Hare, Danny","Lab based","Biomedical sensing diagnostics and imaging","Techniques / technologies - Modelling - computational","Non-linear time series analysis of biosensor data","2025-05-19 14:41:28","Electrochemical sensors offer low-cost, local and real time measurements but selectivity remains a problem.  Mainstream data analysis tools such as the Fourier transform are not valid since the signals are non-linear.  There is a particular difficulty measuring neurotransmitters- many monoamines have similar redox potentials.  We have developed numerical models of the sensors that allow extraction of the physico-chemical properties (redox potential, rate constant, diffusion coefficient etc) to enable more positive identification.  

For further information see:

C.Anastassiou, K.H. Parker & D. OHare Determination of Kinetic and Thermodynamic Parameters of Surface Confined Species through ac Voltammetry and a Nonstationary Signal Processing Technique: the Hilbert Transform Anal. Chem. 77 (2005) 3357-3364.

C.A. Anastassiou, B.A. Patel, K.H. Parker & D. OHare, Characterisation of AC Voltammetric Reaction - Diffusion Dynamics:  From Patterns to Physical Parameters, Anal. Chem. 78 (2006) 4383-4389.

C. A. Anastassiou, B. A. Patel, M. Arundell, M. S. Yeoman, K. H. Parker and D. OHare, Novel Subsecond Voltammetric Separation between Dopamine and Serotonin in the Presence of Ascorbate Anal. Chem.  78(19) (2006) 6990-6998.

CA Anastassiou, , Parker, KH, O'Hare, D, Scaling in nonstationary voltammetry representations, J Phys Chem A, , 111, 13053  13060 (2007)."
128,"O'Hare, Danny","Lab based","Biomedical sensing diagnostics and imaging","medical devices - chemical sensors","Cells on chips","2025-05-19 14:41:28","We have built arrays of microfabricated sensors which can be post-processed to measure dissolved oxygen, nitric oxide and pH (B.A. Patel, M. Arundell, R.G.W. Quek, S.L.R. Harvey, I.R. Ellis, M.M. Florence, A.E.G. Cass, A.M. Schor, D.OHare, Individual addressable microelectrode array for monitoring oxygen and nitric oxide release Anal. Bioanal. Chem. 390(5) 1379-1387 (2008)).  We have recently shown that coating the sensors in fibronectin allows for measurements to be made reliably for hours or longer.  We would now like to apply these devices to study NO production and release in response to various growth factors and to study the chemical composition of the oxidative burst."
165,"Boutelle, Martyn","Lab based","Biomedical sensing diagnostics and imaging","application - sport,body region / organ - biofluids,disease - trauma,disease - wellbeing,medical devices - biosensors,medical devices - wearables,Techniques / technologies - Design - electronics,Techniques / technologies - Design - mobile app,Techniques / technologies - Modelling - computational","Wiireless monitoring of electrochemical sensors","2025-05-19 14:42:06","This new project builds upon two research areas in my group: the development of chemical sensors to detect tissue deterioration due to ischaemia or infection;  and the development of new instrumentation for such sensors. 

We have developed circuits using both Bluetooth and Zigbee. The task will be to design circuits that can control amperometric and potentiometric sensors as well as take information from accelerometers. You will then use these circuits to show proof of principle wireless chemical sensing.

Tasks include circuit design and testing, programming of the data collection interface (Python, Matlab)



"
308,"Parker, Kim","Desk based","Biomechanics and mechanobiology","Techniques / technologies - Modelling - CFD,Techniques / technologies - Modelling - computational,Techniques / technologies - Modelling - mathematical","The mechanics of the dicrotic notch in arterial pressure waveforms","2025-05-19 14:42:00","The dicrotic notch is a characteristic feature of arterial pressure waveforms. It is generally agreed that it is associated with the closure of the aortic valve and it is used clinically to divide the cardiac cycle into systole and diastole. However, despite its clinical importance, the detailed mechanisms involved are not clear. The project would involve the collection of high fidelity intra-arterial pressure and velocity waveforms at different locations in the arterial system. These waveforms will then be analysed using wave intensity analysis with the goal of determining the mechanical processes in the production of the dicrotic notch.

The project could also involve laboratory measurements in a mock circulation incorporating an artificial 'heart' valve. This would involve the setting up of the flow system, the measurement of flow and pressure waveforms and the analysis of these waveforms using wave intensity analysis. The balance of experimental and theoretical analysis in the project is negotiable."
408,"Masouros, Spyros","Desk based","Biomechanics and mechanobiology","body region / organ - foot and ankle,Techniques / technologies - Modelling - FEA","Super shoes - are they a bit too stiff?","2025-06-05 22:23:03","This is project will be developing a finite-element model. Having taken BACSA in Y3 is a pre-requisite. 

Super shoes” with carbon-fibre plates and stiff midsoles are engineered to improve running efficiency by enhancing energy return. However, there is growing concern that increased stiffness may alter load distribution and increase injury risk, particularly in the ankle and metatarsals.
This project will use FEA to simulate how varying midsole stiffness, both with and without embedded carbon plates, affects the distribution of stress and strain in the foot during stance phase loading. Both static and dynamic simulation will be considered.
Key research questions are whether increased stiffness shifts stress concentrations to injury-prone regions (e.g. the ankle or metatarsals), and what may be the trade-off between performance gains and biomechanical safety.
"
409,"Masouros, Spyros","Lab based","Biomechanics and mechanobiology","Techniques / technologies - Modelling - computational,Techniques / technologies - Modelling - FEA","Body thermoregulation - predicting body-part temperatures and manipulating them  ","2025-06-05 22:10:24","This project will be mostly computational, utilising thermal finite-element modelling. Having taken BACSA in Y3 is a pre-requisite.

We want to model thermal conductivity through tissue. We have preliminary models for the neck and the thigh. We have two applications; 
1) lower limb prosthetics can be quite uncomfortable as they act as insulators eg when running or when it's hot and the body wants to cool the down. Having a model of how temperature builds up (muscle heating up) and tries to cool down (perspiration) can help us design better prosthetics to reduce the thermal insulation they cause. 
2) delivering a thermal stimulation to specific location can trigger thermal receptors in the spinal cord and make the body cool down in cases of unwanted heat build up due to administration of specific drugs. We want to model the heat transfer from the stimulation to the thermal receptors and figure out what stimulation regime(s) could be optimal.

A simple mechanical surrogate to test the FE model for validation will also be part of this project.
"
411,"Masouros, Spyros","Desk based","Biomechanics and mechanobiology","body region / organ - knee ,system - musculoskeletal,Techniques / technologies - Modelling - FEA","Open knees - use of a database of finite-element models of knees ","2025-06-05 21:54:42","You are expected to have taken BACSA in Y3.

A group in the Cleveland Clinic have developed finite-element (FE) models of knees that are for public use.
https://link.springer.com/article/10.1007/s10439-022-03074-0

This project can either be a contribution to the database (ie develop a specimen specific FE model of a knee) or use the database to look at a specific surgical procedure or injury at the knee. 
For example, meniscal injury is frequent and its damage correlates highly with degenerative changes in the knee joint. The models will be used to look at the effect of meniscal injury and its reconstruction on knee kinematics and stresses in the meniscus and the articular cartilage. The following meniscal injuries can be modelled: (a) Partial and total meniscectomy, (b) cleavage, longitudinal and radial tears of various lengths, (c) insertional ligament partial and complete tears, and misplacement of insertions after surgical reconstruction. 
We have published a paper on meniscal injury using our own knee model in the past that can be used as a baseline / guideline:
https://link.springer.com/article/10.1007/s10439-022-03074-0"
741,"Krapp, Holger","Lab based","Neurotechnology and robotics","application - neurotechnology,application - sensing / monitoring","Fly-robot interface - neuronal control of biohybrid system","2025-05-19 14:41:43","Neurobiological research on the integration of signals obtained from different sensor systems is often limited by the fact that the experimental animals are stationary, i.e. they are fixed to a holder within an experimental setup. The reason for this is that stable electrophysiological recordings from nerve cells are only possible if there is no relative movement between the recording electrode and the nerve cell.  While this approach has successfully been used to discover some general principles of sensory information processing, it has two fundamental limitations: (i) under natural conditions the animal simultaneously receives input from virtually all of its sensor systems, and (ii) it generated motor commands (efference copies) which may modify the way in which sensor signals are being processed. 
 
To approximate more realistic conditions when monitoring neuronal activities in the fly nervous system the animal will be mounted on a robot that is free to move in the laboratory environment. The action potentials of motion sensitive interneurons in the fly visual system will be recorded and used to control the steering of the robot, establishing a closed-loop fly-robot interface. This configuration will allow the experimenter to selectively disable individual sensor systems to assess their respective impact on multisensory integration in the fly nervous system.

This project is dedicated the necessary miniaturization of electrophysiological equipment, e.g. amplifier circuits, so it can be mounted on a mobile robot platform to record the neural signals of identified optic flow processing interneurons. The recorded signals will be filtered and converted into command commands for the robot steering. The resulting feed-back system will be set up in a way that prevents the robot from colliding with any obstacles in its immediate environment.
"
831,"Lee, Chiu Fan","Desk based","Computational and theoretical modelling","Techniques / technologies - Modelling - mathematical","How biopolymers break","2025-05-19 14:41:24","Fracture in typical materials usually originates from weak points inside the materials. Biopolymers, such as actin filaments, microtubules and protein amyloid fibrils distinguish themselves from typical materials in that they are almost perfectly crystalline. In other words, there are no weak points in a biopolymer. How a biopolymer breaks, either under tension or due to thermal fluctuations, is therefore very much an open question. And a better understanding of how breakage occurs will have important implications on cellular biomechanics. 

In this project, the student will investigate this problem by performing numerical simulations of a toy model of biopolymers. 
"
